"Hero","Vs","Games","W","L","Win %","Elo Shift"
"Silencer","Drow Ranger","53","35","18","0.660377358490566","6.202514695962844"
"Chen","Templar Assassin","103","68","35","0.6601941747572816","6.251071550005395"
"Bloodseeker","Slark","50","33","17","0.66","10.897891480747598"
"Death Prophet","Earth Spirit","50","33","17","0.66","10.349351902006749"
"Elder Titan","Silencer","50","33","17","0.66","8.824918359691788"
"Shadow Demon","Drow Ranger","50","33","17","0.66","8.616531571389492"
"Lycan","Underlord","50","33","17","0.66","6.852370508420107"
"Beastmaster","Zeus","97","64","33","0.6597938144329897","10.815282153936675"
"Bane","Phantom Assassin","82","54","28","0.6585365853658537","8.304644855888393"
"Monkey King","Zeus","76","50","26","0.6578947368421053","8.233136706670544"
"Timbersaw","Broodmother","67","44","23","0.6567164179104478","12.214637104770802"
"Spirit Breaker","Shadow Fiend","64","42","22","0.65625","8.250363559938505"
"Rubick","Underlord","93","61","32","0.6559139784946236","8.981819841164484"
"Chen","Luna","61","40","21","0.6557377049180327","8.825754875869949"
"Chen","Terrorblade","87","57","30","0.6551724137931034","9.159203405627593"
"Bane","Lich","58","38","20","0.6551724137931034","8.597713689893704"
"Windranger","Grimstroke","84","55","29","0.6547619047619048","10.471407066692446"
"Dark Seer","Spirit Breaker","55","36","19","0.6545454545454545","9.247990201162619"
"Underlord","Undying","55","36","19","0.6545454545454545","8.98005245979174"
"Slark","Snapfire","81","53","28","0.654320987654321","8.505552530495928"
"Treant Protector","Tidehunter","104","68","36","0.6538461538461539","10.49647045654894"
"Medusa","Drow Ranger","52","34","18","0.6538461538461539","9.461017722668162"
"Chen","Dark Willow","78","51","27","0.6538461538461539","9.415885983168396"
"Lycan","Drow Ranger","52","34","18","0.6538461538461539","5.447200994353427"
"Templar Assassin","Keeper of the Light","153","100","53","0.6535947712418301","9.430557744604588"
"Beastmaster","Ogre Magi","75","49","26","0.6533333333333333","9.124165506123925"
"Chen","Pugna","75","49","26","0.6533333333333333","8.16715131186085"
"Bloodseeker","Grimstroke","75","49","26","0.6533333333333333","6.739959378894681"
"Treant Protector","Dragon Knight","112","73","39","0.6517857142857143","9.143961130949034"
"Shadow Fiend","Shadow Shaman","60","39","21","0.65","10.028278564434393"
"Shadow Fiend","Ember Spirit","174","113","61","0.6494252873563219","6.435425284125832"
"Wraith King","Hoodwink","57","37","20","0.6491228070175439","9.434109635717217"
"Elder Titan","Timbersaw","57","37","20","0.6491228070175439","8.838109895933428"
"Chaos Knight","Primal Beast","57","37","20","0.6491228070175439","6.918647806073648"
"Slardar","Underlord","74","48","26","0.6486486486486487","7.768037927084904"
"Bane","Lina","128","83","45","0.6484375","8.204626927196443"
"Lycan","Hoodwink","91","59","32","0.6483516483516484","8.210993681373989"
"Io","Phantom Assassin","54","35","19","0.6481481481481481","8.455652293570582"
"Treant Protector","Monkey King","142","92","50","0.647887323943662","6.6086509487171865"
"Bane","Dawnbreaker","139","90","49","0.6474820143884892","6.444755550942018"
"Ancient Apparition","Silencer","51","33","18","0.6470588235294118","11.015541853367331"
"Largo","Tiny","68","44","24","0.6470588235294118","10.176738592350704"
"Alchemist","Muerta","68","44","24","0.6470588235294118","9.318819024608203"
"Magnus","Weaver","68","44","24","0.6470588235294118","8.736212429858947"
"Enigma","Luna","51","33","18","0.6470588235294118","8.461639801924543"
"Naga Siren","Silencer","68","44","24","0.6470588235294118","8.345421437711165"
"Dark Seer","Dragon Knight","119","77","42","0.6470588235294118","8.193116799983116"
"Abaddon","Lion","51","33","18","0.6470588235294118","6.338333397042335"
"Io","Primal Beast","51","33","18","0.6470588235294118","6.076670354915427"
"Naga Siren","Windranger","68","44","24","0.6470588235294118","5.999217178190697"
"Puck","Brewmaster","147","95","52","0.6462585034013606","9.548742173637379"
"Keeper of the Light","Dawnbreaker","113","73","40","0.6460176991150443","7.856035334830768"
"Treant Protector","Gyrocopter","79","51","28","0.6455696202531646","8.812386821744767"
"Pugna","Lich","76","49","27","0.6447368421052632","6.0147974038638505"
"Treant Protector","Dawnbreaker","90","58","32","0.6444444444444445","8.351017833968937"
"Naga Siren","Morphling","135","87","48","0.6444444444444445","7.82440553783172"
"Abaddon","Grimstroke","73","47","26","0.6438356164383562","7.76989717272261"
"Io","Batrider","87","56","31","0.6436781609195402","6.12603214300905"
"Pugna","Crystal Maiden","84","54","30","0.6428571428571429","9.99249498493544"
"Chaos Knight","Jakiro","56","36","20","0.6428571428571429","9.723921007563789"
"Mirana","Shadow Shaman","56","36","20","0.6428571428571429","7.762296287807103"
"Riki","Ember Spirit","70","45","25","0.6428571428571429","6.747634339510265"
"Mirana","Morphling","176","113","63","0.6420454545454546","7.461133500736462"
"Alchemist","Underlord","67","43","24","0.6417910447761194","6.584066741452202"
"Slardar","Morphling","53","34","19","0.6415094339622641","11.1859438048183"
"Wraith King","Sand King","53","34","19","0.6415094339622641","9.74011707365054"
"Winter Wyvern","Alchemist","53","34","19","0.6415094339622641","7.312042744257906"
"Leshrac","Troll Warlord","64","41","23","0.640625","8.36206103959798"
"Chen","Death Prophet","64","41","23","0.640625","6.539085584532115"
"Earthshaker","Warlock","64","41","23","0.640625","6.510740777275293"
"Lina","Alchemist","50","32","18","0.64","10.158871605760526"
"Primal Beast","Phantom Assassin","50","32","18","0.64","7.798560249484539"
"Windranger","Venomancer","50","32","18","0.64","7.522201402855779"
"Bane","Lion","136","87","49","0.6397058823529411","8.625327386391502"
"Nature's Prophet","Chaos Knight","61","39","22","0.639344262295082","8.69577303761056"
"Naga Siren","Enchantress","108","69","39","0.6388888888888888","9.857641774105225"
"Dark Seer","Abaddon","72","46","26","0.6388888888888888","7.60625826650292"
"Bane","Skywrath Mage","94","60","34","0.6382978723404256","9.402470029843629"
"Enigma","Death Prophet","105","67","38","0.638095238095238","7.661808462674607"
"Mirana","Nyx Assassin","58","37","21","0.6379310344827587","10.278571471150705"
"Elder Titan","Tusk","58","37","21","0.6379310344827587","9.060512455843055"
"Muerta","Abaddon","58","37","21","0.6379310344827587","8.919864493042686"
"Ursa","Chaos Knight","58","37","21","0.6379310344827587","8.597394149887496"
"Bane","Elder Titan","58","37","21","0.6379310344827587","5.489233493807078"
"Storm Spirit","Gyrocopter","185","118","67","0.6378378378378379","8.323154450421509"
"Centaur Warrunner","Dawnbreaker","69","44","25","0.6376811594202898","9.05479087421081"
"Keeper of the Light","Muerta","80","51","29","0.6375","6.7911009771098545"
"Grimstroke","Muerta","91","58","33","0.6373626373626373","6.8855745330862845"
"Drow Ranger","Phoenix","55","35","20","0.6363636363636364","10.352603297610953"
"Largo","Jakiro","55","35","20","0.6363636363636364","10.095165970040139"
"Ancient Apparition","Mars","66","42","24","0.6363636363636364","9.232295495639812"
"Largo","Phoenix","55","35","20","0.6363636363636364","7.744914508956358"
"Sand King","Terrorblade","99","63","36","0.6363636363636364","7.554443410596773"
"Nature's Prophet","Earth Spirit","77","49","28","0.6363636363636364","6.704834859602151"
"Bane","Timbersaw","143","91","52","0.6363636363636364","4.3593989859560605"
"Bane","Hoodwink","233","148","85","0.6351931330472103","7.859809199650983"
"Enigma","Warlock","74","47","27","0.6351351351351351","8.45743194948783"
"Chen","Winter Wyvern","63","40","23","0.6349206349206349","8.884201860884621"
"Disruptor","Zeus","63","40","23","0.6349206349206349","7.974200186376328"
"Tidehunter","Silencer","115","73","42","0.6347826086956522","8.014664787032675"
"Naga Siren","Abaddon","52","33","19","0.6346153846153846","8.93011074347058"
"Venomancer","Magnus","52","33","19","0.6346153846153846","6.950746266655289"
"Broodmother","Pugna","52","33","19","0.6346153846153846","6.146111206219369"
"Enigma","Ursa","52","33","19","0.6346153846153846","6.090794914314147"
"Sand King","Dark Willow","82","52","30","0.6341463414634146","7.974893383984871"
"Medusa","Undying","112","71","41","0.6339285714285714","7.923258559069124"
"Templar Assassin","Vengeful Spirit","71","45","26","0.6338028169014085","8.180849733151367"
"Chen","Undying","71","45","26","0.6338028169014085","7.764466117565587"
"Razor","Tidehunter","101","64","37","0.6336633663366337","7.930615754439654"
"Mirana","Snapfire","303","192","111","0.6336633663366337","7.2545688854357"
"Enigma","Terrorblade","90","57","33","0.6333333333333333","8.132484372753167"
"Chaos Knight","Gyrocopter","60","38","22","0.6333333333333333","7.150962065762174"
"Enigma","Silencer","98","62","36","0.6326530612244898","7.476188753876604"
"Faceless Void","Void Spirit","117","74","43","0.6324786324786325","6.886018374701594"
"Ursa","Lion","68","43","25","0.6323529411764706","8.188617437803932"
"Alchemist","Rubick","174","110","64","0.632183908045977","7.893336229250547"
"Dark Seer","Underlord","87","55","32","0.632183908045977","7.125633233123096"
"Huskar","Clockwerk","57","36","21","0.631578947368421","8.812214128222834"
"Monkey King","Jakiro","171","108","63","0.631578947368421","7.780030743150216"
"Naga Siren","Rubick","171","108","63","0.631578947368421","7.1495176161266745"
"Mirana","Magnus","84","53","31","0.6309523809523809","9.215719542201471"
"Omniknight","Tiny","65","41","24","0.6307692307692307","11.988484696729563"
"Clinkz","Rubick","54","34","20","0.6296296296296297","11.085976568434052"
"Skywrath Mage","Sven","54","34","20","0.6296296296296297","6.907567863524694"
"Slark","Hoodwink","81","51","30","0.6296296296296297","6.900204382980382"
"Visage","Phoenix","54","34","20","0.6296296296296297","4.3185615907784225"
"Io","Timbersaw","116","73","43","0.6293103448275862","6.381606213245935"
"Shadow Fiend","Dark Willow","89","56","33","0.6292134831460674","6.716373904214024"
"Beastmaster","Legion Commander","62","39","23","0.6290322580645161","8.917389914672933"
"Enigma","Earth Spirit","62","39","23","0.6290322580645161","8.405127502688885"
"Bane","Jakiro","124","78","46","0.6290322580645161","7.3071163646123525"
"Chen","Enchantress","124","78","46","0.6290322580645161","5.983085897531542"
"Shadow Fiend","Axe","70","44","26","0.6285714285714286","10.713296562799579"
"Abaddon","Silencer","70","44","26","0.6285714285714286","9.571742577506503"
"Doom","Phantom Assassin","70","44","26","0.6285714285714286","8.073807010368522"
"Pugna","Grimstroke","148","93","55","0.6283783783783784","7.389475050710456"
"Beastmaster","Chaos Knight","113","71","42","0.6283185840707964","8.53634138885013"
"Naga Siren","Pugna","78","49","29","0.6282051282051282","7.28376029899855"
"Ringmaster","Silencer","51","32","19","0.6274509803921569","10.690764233635496"
"Brewmaster","Magnus","51","32","19","0.6274509803921569","8.810924881841084"
"Chaos Knight","Phoenix","67","42","25","0.6268656716417911","8.500114291213576"
"Alchemist","Skywrath Mage","67","42","25","0.6268656716417911","6.9480336724644"
"Storm Spirit","Legion Commander","75","47","28","0.6266666666666667","8.146103441094162"
"Hoodwink","Winter Wyvern","83","52","31","0.6265060240963856","8.069484894263113"
"Naga Siren","Gyrocopter","83","52","31","0.6265060240963856","7.587176593400215"
"Sven","Lifestealer","91","57","34","0.6263736263736264","9.255941250182104"
"Weaver","Dawnbreaker","91","57","34","0.6263736263736264","7.553912070423802"
"Leshrac","Morphling","107","67","40","0.6261682242990654","6.678252379802645"
"Clockwerk","Dawnbreaker","195","122","73","0.6256410256410256","6.930229403734588"
"Bane","Ringmaster","64","40","24","0.625","14.235081952490862"
"Abaddon","Earthshaker","64","40","24","0.625","9.7436568470055"
"Enigma","Sven","72","45","27","0.625","9.1934332188183"
"Storm Spirit","Clinkz","56","35","21","0.625","9.027344388029459"
"Mirana","Dawnbreaker","96","60","36","0.625","8.423067305254506"
"Huskar","Puck","56","35","21","0.625","8.372945888882866"
"Mirana","Jakiro","112","70","42","0.625","8.138172975936671"
"Alchemist","Invoker","72","45","27","0.625","8.11058873305879"
"Centaur Warrunner","Lina","96","60","36","0.625","7.738403131842625"
"Void Spirit","Night Stalker","56","35","21","0.625","7.707503586560111"
"Crystal Maiden","Sniper","64","40","24","0.625","7.684236757626007"
"Sven","Warlock","56","35","21","0.625","7.614614514703672"
"Muerta","Techies","56","35","21","0.625","7.262003351821407"
"Bristleback","Sand King","96","60","36","0.625","7.246198931331437"
"Naga Siren","Sand King","64","40","24","0.625","6.2449027579263685"
"Warlock","Dawnbreaker","104","65","39","0.625","6.132268603071683"
"Marci","Skywrath Mage","64","40","24","0.625","5.60120477272462"
"Bristleback","Brewmaster","72","45","27","0.625","5.521112405970156"
"Shadow Shaman","Lina","72","45","27","0.625","5.431163949959011"
"Nature's Prophet","Queen of Pain","117","73","44","0.6239316239316239","7.665235776807371"
"Muerta","Dawnbreaker","109","68","41","0.6238532110091743","6.409740282537329"
"Faceless Void","Phoenix","101","63","38","0.6237623762376238","5.508685194904368"
"Bane","Dragon Knight","186","116","70","0.6236559139784946","7.9192357511534865"
"Lycan","Undying","93","58","35","0.6236559139784946","7.589876130658366"
"Templar Assassin","Grimstroke","170","106","64","0.6235294117647059","6.374278762326561"
"Ancient Apparition","Muerta","77","48","29","0.6233766233766234","7.506962057164822"
"Alchemist","Sven","69","43","26","0.6231884057971014","9.064987166197492"
"Skywrath Mage","Crystal Maiden","69","43","26","0.6231884057971014","7.451860338336292"
"Chen","Ursa","69","43","26","0.6231884057971014","5.018736658475958"
"Visage","Dragon Knight","69","43","26","0.6231884057971014","4.513406440006994"
"Mirana","Zeus","61","38","23","0.6229508196721312","7.380448297411486"
"Chaos Knight","Queen of Pain","53","33","20","0.6226415094339622","7.384264891076824"
"Bane","Wraith King","135","84","51","0.6222222222222222","8.07418489882191"
"Mirana","Templar Assassin","156","97","59","0.6217948717948718","7.691568483486131"
"Bane","Rubick","185","115","70","0.6216216216216216","8.086504369837067"
"Lifestealer","Primal Beast","103","64","39","0.6213592233009708","6.093025091416504"
"Sand King","Ursa","66","41","25","0.6212121212121212","6.694996743770274"
"Marci","Viper","66","41","25","0.6212121212121212","4.98117161156382"
"Wraith King","Spirit Breaker","66","41","25","0.6212121212121212","4.389296627065311"
"Tidehunter","Techies","95","59","36","0.6210526315789474","7.449707105769204"
"Alchemist","Phoenix","124","77","47","0.6209677419354839","2.62794204561033"
"Medusa","Skywrath Mage","116","72","44","0.6206896551724138","7.695282077678564"
"Enigma","Dawnbreaker","145","90","55","0.6206896551724138","7.070457454026212"
"Naga Siren","Terrorblade","116","72","44","0.6206896551724138","6.7574756853816185"
"Faceless Void","Jakiro","58","36","22","0.6206896551724138","6.373713252608394"
"Lifestealer","Terrorblade","87","54","33","0.6206896551724138","6.09867318833229"
"Medusa","Bloodseeker","87","54","33","0.6206896551724138","5.389235720044001"
"Mirana","Spirit Breaker","87","54","33","0.6206896551724138","5.257029793477472"
"Mirana","Ursa","108","67","41","0.6203703703703703","7.043511487559905"
"Monkey King","Dragon Knight","200","124","76","0.62","7.11953819972432"
"Shadow Shaman","Ringmaster","100","62","38","0.62","6.731029275980382"
"Night Stalker","Sand King","50","31","19","0.62","6.694219953010537"
"Kez","Tiny","71","44","27","0.6197183098591549","10.831987906346082"
"Keeper of the Light","Winter Wyvern","71","44","27","0.6197183098591549","8.603153130502097"
"Medusa","Lion","71","44","27","0.6197183098591549","7.9587680313826725"
"Undying","Axe","71","44","27","0.6197183098591549","7.55051601233866"
"Naga Siren","Ursa","71","44","27","0.6197183098591549","6.806816821048536"
"Ember Spirit","Void Spirit","255","158","97","0.6196078431372549","8.076144816241397"
"Mirana","Underlord","92","57","35","0.6195652173913043","7.933930468011529"
"Tidehunter","Brewmaster","92","57","35","0.6195652173913043","6.97218761388728"
"Faceless Void","Windranger","92","57","35","0.6195652173913043","6.96084169273859"
"Nature's Prophet","Windranger","92","57","35","0.6195652173913043","6.7266979681893355"
"Elder Titan","Shadow Demon","92","57","35","0.6195652173913043","6.38822772800795"
"Naga Siren","Mirana","113","70","43","0.6194690265486725","8.431062641463717"
"Elder Titan","Pangolier","126","78","48","0.6190476190476191","9.116029987952508"
"Clinkz","Timbersaw","63","39","24","0.6190476190476191","8.991397477296875"
"Night Stalker","Dawnbreaker","63","39","24","0.6190476190476191","8.504097455324834"
"Windranger","Lion","105","65","40","0.6190476190476191","8.266653497736923"
"Doom","Lifestealer","63","39","24","0.6190476190476191","8.235114964402376"
"Templar Assassin","Axe","63","39","24","0.6190476190476191","7.386336697756489"
"Bane","Ursa","84","52","32","0.6190476190476191","5.947026230254303"
"Io","Bloodseeker","63","39","24","0.6190476190476191","5.042386104151143"
"Muerta","Tusk","202","125","77","0.6188118811881188","8.83409897150574"
"Bloodseeker","Terrorblade","97","60","37","0.6185567010309279","6.252472167888332"
"Pugna","Techies","165","102","63","0.6181818181818182","7.584943062250758"
"Naga Siren","Mars","110","68","42","0.6181818181818182","6.279845893608564"
"Chen","Mars","110","68","42","0.6181818181818182","5.558348981819859"
"Batrider","Broodmother","89","55","34","0.6179775280898876","7.762975764919023"
"Dark Seer","Muerta","68","42","26","0.6176470588235294","8.367057460170448"
"Anti-Mage","Sand King","68","42","26","0.6176470588235294","7.91600218279399"
"Lina","Silencer","68","42","26","0.6176470588235294","7.2009139938571325"
"Io","Void Spirit","102","63","39","0.6176470588235294","5.454965830118663"
"Slardar","Leshrac","81","50","31","0.6172839506172839","7.265277272962263"
"Treant Protector","Warlock","81","50","31","0.6172839506172839","6.337346704915553"
"Monkey King","Underlord","94","58","36","0.6170212765957447","6.385070698605492"
"Chen","Centaur Warrunner","107","66","41","0.616822429906542","5.147734540203019"
"Elder Titan","Crystal Maiden","60","37","23","0.6166666666666667","9.52333606897589"
"Shadow Demon","Lina","120","74","46","0.6166666666666667","6.415738437528898"
"Faceless Void","Spirit Breaker","60","37","23","0.6166666666666667","6.110633489428109"
"Invoker","Phantom Assassin","73","45","28","0.6164383561643836","8.446357625289275"
"Mirana","Phoenix","146","90","56","0.6164383561643836","6.268683368576617"
"Medusa","Luna","86","53","33","0.6162790697674418","7.326996749503345"
"Enigma","Primal Beast","112","69","43","0.6160714285714286","8.182801547132241"
"Faceless Void","Terrorblade","125","77","48","0.616","6.774832176082597"
"Chen","Ember Spirit","151","93","58","0.6158940397350994","4.457062912793325"
"Abaddon","Ursa","65","40","25","0.6153846153846154","7.852296119347382"
"Slardar","Techies","52","32","20","0.6153846153846154","7.850940328153252"
"Elder Titan","Dark Willow","52","32","20","0.6153846153846154","7.4553485589111395"
"Naga Siren","Luna","78","48","30","0.6153846153846154","6.885289448338124"
"Phantom Lancer","Templar Assassin","65","40","25","0.6153846153846154","6.773412189062709"
"Treant Protector","Windranger","78","48","30","0.6153846153846154","2.724081699650362"
"Bristleback","Gyrocopter","135","83","52","0.6148148148148148","5.898314202167557"
"Centaur Warrunner","Lion","109","67","42","0.6146788990825688","8.14418811393468"
"Winter Wyvern","Dawnbreaker","109","67","42","0.6146788990825688","6.202768570954864"
"Weaver","Phantom Assassin","83","51","32","0.6144578313253012","4.485641294174787"
"Mirana","Tidehunter","153","94","59","0.6143790849673203","6.356463820547404"
"Muerta","Phantom Assassin","70","43","27","0.6142857142857143","7.230907934632798"
"Mirana","Grimstroke","140","86","54","0.6142857142857143","5.939058325440038"
"Monkey King","Visage","70","43","27","0.6142857142857143","5.59884978410184"
"Juggernaut","Bloodseeker","70","43","27","0.6142857142857143","5.271925177864205"
"Tidehunter","Void Spirit","171","105","66","0.6140350877192983","7.177240780912563"
"Lycan","Jakiro","57","35","22","0.6140350877192983","4.878578527410318"
"Monkey King","Rubick","329","202","127","0.6139817629179332","7.276759551850151"
"Sand King","Shadow Fiend","75","46","29","0.6133333333333333","6.03402350557363"
"Templar Assassin","Phantom Assassin","75","46","29","0.6133333333333333","3.7387539502432885"
"Disruptor","Broodmother","106","65","41","0.6132075471698113","8.362914031174862"
"Keeper of the Light","Void Spirit","155","95","60","0.6129032258064516","6.750494729253557"
"Dazzle","Phoenix","62","38","24","0.6129032258064516","6.4983839821189635"
"Gyrocopter","Lich","62","38","24","0.6129032258064516","5.4279394652559265"
"Enchantress","Vengeful Spirit","80","49","31","0.6125","4.606621408311005"
"Lifestealer","Kunkka","147","90","57","0.6122448979591837","6.068595528166815"
"Shadow Demon","Tidehunter","165","101","64","0.6121212121212121","7.188151674353522"
"Shadow Fiend","Tidehunter","67","41","26","0.6119402985074627","7.052969054036122"
"Undying","Dark Willow","67","41","26","0.6119402985074627","5.957560696555882"
"Keeper of the Light","Snapfire","152","93","59","0.6118421052631579","7.685030005419982"
"Mirana","Hoodwink","255","156","99","0.611764705882353","6.661109938727272"
"Snapfire","Axe","85","52","33","0.611764705882353","4.882622155315564"
"Elder Titan","Kunkka","54","33","21","0.6111111111111112","11.908913261847935"
"Viper","Shadow Fiend","54","33","21","0.6111111111111112","10.608095626520324"
"Huskar","Templar Assassin","54","33","21","0.6111111111111112","8.111428683289976"
"Mirana","Queen of Pain","108","66","42","0.6111111111111112","8.097068371707927"
"Leshrac","Doom","144","88","56","0.6111111111111112","7.025752952471265"
"Nature's Prophet","Void Spirit","72","44","28","0.6111111111111112","6.451703455211949"
"Medusa","Phoenix","108","66","42","0.6111111111111112","6.165544244500127"
"Bounty Hunter","Batrider","72","44","28","0.6111111111111112","5.237569485446162"
"Ursa","Zeus","54","33","21","0.6111111111111112","4.862143845109724"
"Ursa","Ogre Magi","54","33","21","0.6111111111111112","4.178770836506067"
"Huskar","Phoenix","54","33","21","0.6111111111111112","3.2727536417532606"
"Batrider","Lifestealer","113","69","44","0.6106194690265486","5.55282703626324"
"Weaver","Viper","95","58","37","0.6105263157894737","6.1574061549712225"
"Weaver","Tusk","195","119","76","0.6102564102564103","7.424421378648229"
"Lich","Dragon Knight","59","36","23","0.6101694915254238","8.261103090066"
"Enigma","Drow Ranger","59","36","23","0.6101694915254238","6.009441063263844"
"Enigma","Bloodseeker","59","36","23","0.6101694915254238","5.724825364777836"
"Marci","Slardar","59","36","23","0.6101694915254238","4.260768599137321"
"Puck","Crystal Maiden","141","86","55","0.6099290780141844","7.07737435098244"
"Lycan","Dawnbreaker","82","50","32","0.6097560975609756","5.762263724982149"
"Dark Seer","Shadow Fiend","105","64","41","0.6095238095238096","6.379630538342067"
"Pugna","Tusk","169","103","66","0.6094674556213018","7.213921815989626"
"Dark Willow","Faceless Void","64","39","25","0.609375","9.165203106697305"
"Troll Warlord","Void Spirit","64","39","25","0.609375","7.199863822323292"
"Kez","Mars","64","39","25","0.609375","6.655391700512278"
"Sven","Earthshaker","64","39","25","0.609375","6.442010937162907"
"Alchemist","Earth Spirit","64","39","25","0.609375","6.295467266834712"
"Bane","Brewmaster","64","39","25","0.609375","5.200496916955786"
"Outworld Devourer","Mars","64","39","25","0.609375","4.95474716735008"
"Alchemist","Sand King","64","39","25","0.609375","4.898440176253034"
"Doom","Dawnbreaker","151","92","59","0.609271523178808","5.622918923520061"
"Phantom Lancer","Mars","87","53","34","0.6091954022988506","6.630208408608102"
"Slardar","Void Spirit","87","53","34","0.6091954022988506","6.317786141562649"
"Pangolier","Winter Wyvern","110","67","43","0.6090909090909091","6.765311523025196"
"Monkey King","Lich","110","67","43","0.6090909090909091","3.1516519635421005"
"Death Prophet","Grimstroke","133","81","52","0.6090225563909775","5.362475930015717"
"Leshrac","Lycan","69","42","27","0.6086956521739131","7.756247386301504"
"Weaver","Night Stalker","69","42","27","0.6086956521739131","7.200004740805642"
"Shadow Fiend","Queen of Pain","138","84","54","0.6086956521739131","6.1066684995445915"
"Naga Siren","Templar Assassin","69","42","27","0.6086956521739131","5.870068834781549"
"Luna","Snapfire","166","101","65","0.608433734939759","5.596475090712894"
"Keeper of the Light","Gyrocopter","97","59","38","0.6082474226804123","8.495856437586966"
"Batrider","Troll Warlord","97","59","38","0.6082474226804123","6.9087713785959615"
"Naga Siren","Lycan","74","45","29","0.6081081081081081","4.787197529025451"
"Mirana","Mars","273","166","107","0.608058608058608","6.431706592270035"
"Undying","Ogre Magi","51","31","20","0.6078431372549019","9.22042840742509"
"Mirana","Razor","102","62","40","0.6078431372549019","5.060272756866796"
"Keeper of the Light","Nyx Assassin","102","62","40","0.6078431372549019","4.864045358531588"
"Juggernaut","Snapfire","102","62","40","0.6078431372549019","4.816615822766475"
"Nyx Assassin","Ogre Magi","51","31","20","0.6078431372549019","3.4117919254854723"
"Pugna","Undying","130","79","51","0.6076923076923076","6.836738844478805"
